pairID,gold_label,Sentence1,Sentence2,Explanation_1,Sentence1_marked_1,Sentence2_marked_1,Sentence1_Highlighted_1,Sentence2_Highlighted_1,Explanation_2,Sentence1_marked_2,Sentence2_marked_2,Sentence1_Highlighted_2,Sentence2_Highlighted_2,Explanation_3,Sentence1_marked_3,Sentence2_marked_3,Sentence1_Highlighted_3,Sentence2_Highlighted_3
458884858.jpg#0r1c,contradiction,"A lone, 2-3 year old blond child in a blue jacket is putting a small black plastic item in his mouth as he kneels on a waiting room couch pointed toward the back while looking at something or someone not in the room.",The child has brown hair.,Blond and brown hair are two different colors.," A lone, 2-3 year old *blond* child in a blue jacket is putting a small black plastic item in his mouth as he kneels on a waiting room couch pointed toward the back while looking at something or someone not in the room.",The child has *brown* *hair.*,5,"3,4",The child would not have brown hair if he/she was blond.," A lone, 2-3 year old *blond* child in a blue jacket is putting a small black plastic item in his mouth as he kneels on a waiting room couch pointed toward the back while looking at something or someone not in the room.",The child has *brown* hair.,5,3,The child either has brown hair or is blond.," A lone, 2-3 year old *blond* child in a blue jacket is putting a small black plastic item in his mouth as he kneels on a waiting room couch pointed toward the back while looking at something or someone not in the room.",The child has *brown* *hair.*,5,"3,4"
3477681171.jpg#4r1c,contradiction,A girl jumping on pavement.,A girl in bed,One cannot be jumping on pavement and in bed simultaneously.,A girl *jumping* on *pavement.*,A girl in *bed*,"2,4",3,If a girl is jumping on pavement she is not in bed.,A *girl* *jumping* *on* *pavement.*,A *girl* *in* *bed*,"2,3,4,1","3,1,2",The girl cannot be jumping on pavement and in bed at the same time.,A girl *jumping* on pavement.,A girl in *bed*,2,3
3477681171.jpg#4r1n,neutral,A girl jumping on pavement.,A girl outside,Just because on pavement does not mean outside.,A girl jumping on pavement., A girl *outside*,{},2,The fact that a girl is jumping on pavement doesn't imply the girl is outside.,A girl jumping on pavement., A girl *outside*,{},2,Just because a girl is jumping on pavement it does not mean a girl is outside.,A girl jumping on pavement., A *girl* *outside*,{},"2,1"
3477681171.jpg#4r1e,entailment,A girl jumping on pavement.,A girl jumping,The girl on the pavement is jumping, A girl *jumping* *on* *pavement.*, A girl *jumping*,"2,3,4",2,The girl has to be  jumping to be jumping on something, A girl *jumping* *on* *pavement.*, A girl *jumping*,"2,4,3",2,if the girl is jumping on pavement then the action she is taking is jumping., A *girl* *jumping* on pavement., A *girl* *jumping*,"1,2","1,2"
2324963565.jpg#3r1n,neutral,A woman reaching for candy bars that are on a shelf.,The candy bars are above the womans head.,Just because the woman is reaching does not mean the candy bars are above the womans head.,A woman reaching for candy bars that are on a shelf., The candy bars are *above* *the* *womans* *head.*,{},"4,5,6,7",Just because a person reaches for an object doesn't imply that the object is above their head.,A woman reaching for candy bars that are on a shelf., The candy bars are *above* the womans head.,{},4,A woman trying to reach out for candies doesn't necessarily mean  its above the woman's head.,A woman reaching for candy bars that are on a shelf., The candy bars are *above* the womans *head.*,{},"4,7"
2324963565.jpg#3r1c,contradiction,A woman reaching for candy bars that are on a shelf.,The woman is on a motor boat.,The woman can not be reaching for candy bars on a shelf if she is on a motor boat,A woman *reaching* *for* *candy* *bars* that are on a shelf.,The woman is on a *motor* *boat.*,"2,3,4,5","5,6",The woman cannot reach for candy bars on a shelf while also riding on a motor boat.,A woman reaching for candy bars that are on a *shelf.*,The woman is on a *motor* *boat.*,10,"6,5",There is not a shelf on a motor boat.,A woman reaching for candy bars that are on a *shelf.*,The woman is on a *motor* *boat.*,10,"5,6"
2324963565.jpg#3r1e,entailment,A woman reaching for candy bars that are on a shelf.,There are candy bars on the shelf.,"""Candy bars that are on a shelf"" is a rephrase of ""candy bars on the shelf.""", A woman reaching for *candy* *bars* *that* *are* *on* *a* *shelf.*, There are *candy* *bars* *on* *the* *shelf.*,"4,5,6,7,8,9,10","2,3,4,6,5",the woman is reaching for candy bars on a shelf which means there must be cany bars on that shelf, A *woman* reaching for *candy* *bars* that are on a *shelf.*, There are *candy* *bars* on the *shelf.*,"4,5,10,1","2,3,6","If candy bars are on a shelf, there are candy bars.", A woman reaching for *candy* *bars* that are *on* a *shelf.*, *There* *are* *candy* *bars* on the shelf.,"4,5,8,10","2,3,0,1"
2553131080.jpg#3r1c,neutral,"Grilling ribs, chicken kabobs, and vegetable kabobs.",We went out to eat.,There is no indication that they went out to eat as opposed to eating at home.,"Grilling ribs, chicken kabobs, and vegetable kabobs.", We *went* *out* to eat.,{},"1,2",Grilling food doesn't imply that a person has gone out to eat that food.,"Grilling ribs, chicken kabobs, and vegetable kabobs.", We *went* *out* *to* *eat.*,{},"1,2,3,4",Grilling ribs one doesn't have to be going out to eat.,"Grilling ribs, chicken kabobs, and vegetable kabobs.", We went *out* to *eat.*,{},"2,4"
2553131080.jpg#3r1e,entailment,"Grilling ribs, chicken kabobs, and vegetable kabobs.",We had a bbq with ribs and different types of kabobs.,A bbq involves grilling ribs. A chicken and vegetable kabobs are different types of kabobs.," *Grilling* *ribs,* *chicken* *kabobs,* and *vegetable* *kabobs.*", We had a *bbq* *with* *ribs* and *different* *types* *of* *kabobs.*,"2,1,0,3,6,5","3,10,5,7,8,9,4",Grilling different types of meat is called a bbq.," *Grilling* ribs, chicken kabobs, and vegetable kabobs.", We had a *bbq* with ribs and different types of kabobs.,0,3,"Grilling implies bbq, and chicken kabobs and vegetable kabobs equal different types of kabobs."," *Grilling* ribs, *chicken* *kabobs,* *and* *vegetable* *kabobs.*", We had a *bbq* with ribs and *different* *types* *of* *kabobs.*,"0,2,3,4,5,6","3,7,8,9,10"
2553131080.jpg#3r1n,neutral,"Grilling ribs, chicken kabobs, and vegetable kabobs.",The family were grilling dinner.,"The words Grilling ribs, chicken kabobs, and vegetable kabobs do not imply that a family were grilling dinner.","Grilling ribs, chicken kabobs, and vegetable kabobs.", The *family* *were* *grilling* *dinner.*,{},"1,3,4,2",Other people or groups besides a family can be grilling dinner.,"Grilling ribs, chicken kabobs, and vegetable kabobs.", The *family* were grilling dinner.,{},1,Grilling ribs doesn't have to be of a family dinner.,"Grilling ribs, chicken kabobs, and vegetable kabobs.", The *family* were *grilling* dinner.,{},"3,1"
2367387854.jpg#1r1n,neutral,"A woman with dark hair wearing a dark shirt, jeans, and glasses is talking into a microphone.",A reporter is doing a live news report.,Someone talking into a microphone doesn't automatically become a reporter. Doing a live news report is not the only use of a microphone.,"A woman with dark hair wearing a dark shirt, jeans, and glasses is talking into a microphone.", A *reporter* is doing a *live* *news* *report.*,{},"1,5,6,7","Not all women talking into a microphone are reporters, and talking into a microphone doesn't imply doing a live news report.","A woman with dark hair wearing a dark shirt, jeans, and glasses is talking into a microphone.", A *reporter* is doing a *live* *news* *report.*,{},"1,5,6,7","A woman talking to a mic, doesn't have to be doing live news report.","A woman with dark hair wearing a dark shirt, jeans, and glasses is talking into a microphone.", A reporter is doing a *live* news *report.*,{},"5,7"
2367387854.jpg#1r2n,neutral,"A woman with dark hair wearing a dark shirt, jeans, and glasses is talking into a microphone.",The woman is addressing a crowd.,A woman can talk into a microphone without addressing a crowd.,"A woman with dark hair wearing a dark shirt, jeans, and glasses is talking into a microphone.", The woman is *addressing* *a* *crowd.*,{},"3,4,5",Talking into a microphone doesn't mean addressing a crowd.,"A woman with dark hair wearing a dark shirt, jeans, and glasses is talking into a microphone.", The woman is *addressing* *a* *crowd.*,{},"3,4,5",A woman talking into the microphone doesn't have to be addressing a crowd.,"A woman with dark hair wearing a dark shirt, jeans, and glasses is talking into a microphone.", The woman is *addressing* a *crowd.*,{},"5,3"
2367387854.jpg#1r2c,contradiction,"A woman with dark hair wearing a dark shirt, jeans, and glasses is talking into a microphone.",The woman is talking on a telephone.,"She is talking into a microphone, not a telephone."," A woman with dark hair wearing a dark shirt, jeans, and glasses is talking into a *microphone.*",The woman is talking on a *telephone.*,16,6,The woman is either talking into a microphone or talking on the telephone," A woman with dark hair wearing a dark shirt, jeans, and glasses is *talking* *into* *a* *microphone.*",The woman is *talking* *on* *a* *telephone.*,"13,16,14,15","3,4,5,6",A telephone is not same with microphone.," A woman with dark hair wearing a dark shirt, jeans, and glasses is talking into a *microphone.*",The woman is talking on a *telephone.*,16,6
2367387854.jpg#1r1e,entailment,"A woman with dark hair wearing a dark shirt, jeans, and glasses is talking into a microphone.",A woman is speaking into a device.,A microphone is a device.," A woman with dark hair wearing a dark shirt, jeans, and glasses is talking into a *microphone.*", A woman is speaking into a *device.*,16,6,A woman that is speaking into a device implies the woman is talking into a microphone.," A woman with dark hair wearing a dark shirt, jeans, and glasses is *talking* into a *microphone.*", A *woman* is *speaking* into a device.,"16,13","1,3","A woman ""talking into a microphone"" is a rephrasing of a woman ""speaking into a device""."," A *woman* with dark hair wearing a dark shirt, jeans, and glasses is *talking* *into* a microphone.", A *woman* is *speaking* into a *device.*,"1,13,14","1,3,6"
2367387854.jpg#1r2e,contradiction,"A woman with dark hair wearing a dark shirt, jeans, and glasses is talking into a microphone.",The woman has dark hair and a skirt on.,You can not wear a skirt with jeans.," A woman with dark hair wearing a dark shirt, *jeans,* and glasses is talking into a microphone.",The woman has dark hair and a *skirt* on.,9,7,A woman can't wear jeans and a skirt at the same time.," A woman with dark hair wearing a dark shirt, *jeans,* and glasses is talking into a microphone.",The woman has dark hair and a *skirt* on.,9,7,A woman would not wear jeans and a skirt at the same time.," A *woman* with dark hair wearing a dark shirt, *jeans,* and glasses is talking into a microphone.",The *woman* has dark hair and a *skirt* on.,"1,9","1,7"
2367387854.jpg#1r1c,contradiction,"A woman with dark hair wearing a dark shirt, jeans, and glasses is talking into a microphone.",A woman in a pink bathing suit dives into the pool.,"A women is either wearing a shirt, jeans and glasses and talking on a microphone or wearing a pink swimming suit and jumping into a pool but not both."," A *woman* with dark hair wearing a dark *shirt,* *jeans,* and *glasses* is *talking* into a *microphone.*",A *woman* in a pink *bathing* suit *dives* into the *pool.*,"1,9,8,11,16,13","1,5,7,10","A woman can't be wearing a dark shirt and jeans at the same time she is wearing a pink bathing suit, and she also can't be diving into a pool if she is talking into a microphone."," A woman with dark hair wearing a *dark* *shirt,* *jeans,* and glasses is *talking* *into* a *microphone.*",A woman in a *pink* *bathing* *suit* dives into the *pool.*,"7,8,9,13,14,16","4,5,6,10",The woman cannot be wearing a dark shirt and jeans while wearing a pink bathing suit simultaneously.," A woman with dark hair wearing a *dark* *shirt,* *jeans,* and glasses is talking into a microphone.",A woman in a *pink* *bathing* *suit* dives into the pool.,"7,8,9","4,5,6"
6326513189.jpg#3r1c,contradiction,One of the hockey players just tried to score,There is a lion on the ice,What is happening on the ice ... players trying to score or a lion on the ice,One of the *hockey* *players* *just* *tried* *to* *score*,There is a *lion* *on* *the* *ice*,"3,4,5,6,7,8","3,4,5,6",You can't play hockey with a lion on the ice.,One of the *hockey* players just tried to score,There is a *lion* *on* *the* *ice*,3,"3,4,5,6",Hockey players will not be able to score with a lion on the ice.,One of the *hockey* *players* just tried to score,There is a *lion* on the ice,"3,4",3
6326513189.jpg#3r1e,entailment,One of the hockey players just tried to score,There are a bunch of people on the ice.,One of the bunch of hockey players just tried to score on the ice, *One* *of* *the* *hockey* players *just* *tried* *to* *score*, There are a *bunch* of people *on* *the* *ice.*,"5,6,7,8,3,0,1,2","6,7,8,3","Hockey players are people, and hockey is often played on ice.", One of the *hockey* *players* just tried to score, There are a bunch of *people* on the *ice.*,"3,4","5,8",The bunch of people on the ice is watching the hockey players game and how they getting the score., One of the *hockey* *players* just tried to *score*, There are a *bunch* of *people* on the *ice.*,"3,4,8","3,5,8"
6326513189.jpg#3r1n,neutral,One of the hockey players just tried to score,The game is very intense and even.,A player attempting to score doesn't reveal any information to suggest that the game is very intense and even.,One of the hockey players just tried to score, The game is *very* *intense* *and* *even.*,{},"3,4,5,6","The fact that a hockey player tried to score doesn't mean that the hockey game is an intense game, and doesn't mean that the game is an even one either.",One of the hockey players just tried to score, The game is *very* *intense* and *even.*,{},"3,4,6",A player trying to score doesn't necessarily mean the game is intense and even.,One of the hockey players just tried to score, The game is very *intense* and *even.*,{},"4,6"
3017220118.jpg#3r1e,entailment,Two women looking at the camera and a man looking away.,A group of people.,There is a group of people because there are two women and a man., *Two* *women* looking at the camera and *a* *man* looking away., A *group* of *people.*,"0,1,7,8","1,3",women and man same as people, Two *women* looking at the camera *and* a *man* looking away., A group of *people.*,"1,8,6",3,There is two woman looking at camera and a man looking away., *Two* *women* *looking* at the *camera* and a *man* looking *away.*, A *group* of *people.*,"0,1,8,2,5,10","1,3"
3017220118.jpg#3r1n,neutral,Two women looking at the camera and a man looking away.,A group of people hugging.,A group can mean more than one and you can look at a camera and not be hugging.,Two women looking at the camera and a man looking away., A *group* of people *hugging.*,{},"1,4",Two women and a man doesn't imply that the group is hugging.,Two women looking at the camera and a man looking away., A group of people *hugging.*,{},4,Two people looking at the opposite side don't have to be hugging.,Two women looking at the camera and a man looking away., A group of people *hugging.*,{},4
3017220118.jpg#3r1c,contradiction,Two women looking at the camera and a man looking away.,No one is looking at the camera.,"The number of people looking at the camera changes between the sentences, in sentence 1 its two women, in sentence 2 no one is looking.",*Two* *women* *looking* at the camera and a man looking away.,*No* *one* *is* *looking* at the camera.,"0,1,2","0,1,2,3",Two women and a man are not no one.,*Two* *women* looking at the camera *and* *a* *man* looking away.,*No* *one* is looking at the camera.,"1,0,8,6,7","1,0","If women are looking at the camera, someone is looking.,",Two *women* *looking* at the camera and a man looking away.,*No* *one* is *looking* at the camera.,"2,1","0,1,3"
3628059004.jpg#3r1c,contradiction,A woman with a guitar smiles in front of a microphone.,A woman is lighting a fuse.,A woman cannot smile in front of a microphone while light a fuse.,A woman with a guitar *smiles* *in* *front* of *a* *microphone.*,A woman is *lighting* *a* *fuse.*,"6,5,7,9,10","3,4,5",she is either holding a guitar or lighting a fuse,A woman with a *guitar* smiles in front of a microphone.,A woman is *lighting* *a* *fuse.*,4,"5,3,4",A woman lighting a fuse can not offer smiles as the same time,A woman with a guitar *smiles* in front of a microphone.,A woman is *lighting* a fuse.,5,3
3628059004.jpg#3r1e,neutral,A woman with a guitar smiles in front of a microphone.,A woman is singing.,Just because one has a guitar and is standing in front of a microphone doesn't mean one is singing.,A woman with a guitar smiles in front of a microphone., A woman is *singing.*,{},3,Smiling in front of a microphone doesn't imply that a person is singing.,A woman with a guitar smiles in front of a microphone., A woman is *singing.*,{},3,A woman smiling in front of a microphone deosn't have to be singing.,A woman with a guitar smiles in front of a microphone., A woman is *singing.*,{},3
3628059004.jpg#3r1n,neutral,A woman with a guitar smiles in front of a microphone.,A woman is singing 'Happy Birthday.',You can not infer she is singing Happy Birthday.,A woman with a guitar smiles in front of a microphone., A woman is *singing* 'Happy Birthday.',{},3,"Smiling in front of a microphone doesn't imply that a person is singing, and doesn't imply any particular song either.",A woman with a guitar smiles in front of a microphone., A woman is *singing* *'Happy* *Birthday.'*,{},"3,4,5",A woman smiling at the guitar doesn't have to be singing.,A woman with a guitar smiles in front of a microphone., A woman is *singing* 'Happy Birthday.',{},3
4597303045.jpg#0r1c,contradiction,An Asian man in a t-shirt and sandals is smoking a pipe while sitting on a rock in front of a body of water.,The man is drinking a beer in a pub.,Sitting on a rock outside vs in a pub,An Asian man in a t-shirt and sandals is *smoking* a *pipe* while sitting on a rock in front of a *body* *of* *water.*,The man is *drinking* a *beer* in a *pub.*,"21,22,23,9,11","8,3,5",The man would not be smoking and drinking simultaneously. Usually there would not be a rock in a pub.,An Asian man in a t-shirt and sandals is *smoking* a pipe while sitting on a *rock* in front of a body of water.,The man is *drinking* a beer in a *pub.*,"9,16","3,8","A body of water is outside, a pub is inside.",An Asian man in a t-shirt and sandals is smoking a pipe while sitting on a rock in front of a *body* *of* *water.*,The man is drinking a beer in a *pub.*,"21,22,23",8
4597303045.jpg#0r1n,neutral,An Asian man in a t-shirt and sandals is smoking a pipe while sitting on a rock in front of a body of water.,The man is tired.,Sitting on a rock does not necessarily mean tired.,An Asian man in a t-shirt and sandals is smoking a pipe while sitting on a rock in front of a body of water., The man is *tired.*,{},3,A man sitting on a rock smoking a pipe is not necessarily tired.,An Asian man in a t-shirt and sandals is smoking a pipe while sitting on a rock in front of a body of water., The man is *tired.*,{},3,"A man smoking pipe, doesn't have to be tired.",An Asian man in a t-shirt and sandals is smoking a pipe while sitting on a rock in front of a body of water., The man is *tired.*,{},3
4597303045.jpg#0r1e,entailment,An Asian man in a t-shirt and sandals is smoking a pipe while sitting on a rock in front of a body of water.,The man is asian.,"""An Asian man"" is another way to say ""the man is asian"".", An *Asian* *man* in a t-shirt and sandals is smoking a pipe while sitting on a rock in front of a body of water., The *man* *is* *asian.*,"1,2","3,1,2",man decscribed as an asian, *An* *Asian* *man* in a t-shirt and sandals is smoking a pipe while sitting on a rock in front of a body of water., The *man* *is* *asian.*,"1,0,2","1,2,3",Asian man is the same as the man is Asian., An *Asian* *man* in a t-shirt and sandals is smoking a pipe while sitting on a rock in front of a body of water., The *man* is *asian.*,"1,2","1,3"
1578427672.jpg#0r1e,entailment,A small girl is unwrapping a green present with toys strewn around.,A girl is surrounded by toys,A girl with toys strewn around must be surrounded by toys., A small girl is unwrapping a green present *with* *toys* *strewn* *around.*, A girl is *surrounded* *by* *toys*,"8,10,11,9","3,4,5","If the girl has toys strewn around her, this indicates that she is surrounded by toys, it is a rephrasing.", A small *girl* is unwrapping a green present with *toys* *strewn* *around.*, A *girl* is *surrounded* *by* *toys*,"2,9,10,11","1,3,4,5","In order to be surrounded, the toys must be strewn around the girl.", A small girl is unwrapping a green present with toys *strewn* *around.*, A girl is *surrounded* by toys,"10,11",3
1578427672.jpg#0r1n,neutral,A small girl is unwrapping a green present with toys strewn around.,It's Christmas,Just because a girl is unwrapping a present doesn't mean it is Christmas.,A small girl is unwrapping a green present with toys strewn around., It's *Christmas*,{},1,It is not necessarily a Christmas season for the girl unwrapping present.,A small girl is unwrapping a green present with toys strewn around., It's *Christmas*,{},1,Not all presents are given at Christmas.,A small girl is unwrapping a green present with toys strewn around., It's *Christmas*,{},1
1578427672.jpg#0r1c,contradiction,A small girl is unwrapping a green present with toys strewn around.,The girl is climbing a mountain,One would not be unwrapping a present while climbing a mountain.,A small girl is *unwrapping* a *green* *present* with toys strewn around.,The girl is *climbing* a *mountain*,"4,6,7","3,5",girl can't be climbing mountain if she is unwrapping present,A small *girl* is *unwrapping* a green *present* with toys strewn around.,The *girl* is *climbing* a *mountain*,"2,4,7","3,5,1","One sentence says the girl is unwrapping, the next says she is climbing",A small girl is *unwrapping* a green present with toys strewn around.,The girl is *climbing* a mountain,4,3
5491397203.jpg#2r1c,contradiction,"A man in a backwards baseball cap, black shirt and blue shorts behind the steering wheel of a boat with a flag behind him.",The cap is forwards.,A cap can be either backwards or forwards," A man in *a* *backwards* baseball *cap,* black shirt and blue shorts behind the steering wheel of a boat with a flag behind him.",The *cap* *is* *forwards.*,"4,6,3","1,2,3",A baseball cap cannot be worn backwards and forwards at the same time.," A man in a *backwards* baseball cap, black shirt and blue shorts behind the steering wheel of a boat with a flag behind him.",The cap is *forwards.*,4,3,A cap that is worn backwards cannot be worn forward at the same time.," A man in a *backwards* baseball *cap,* black shirt and blue shorts behind the steering wheel of a boat with a flag behind him.",The *cap* is *forwards.*,"4,6","3,1"
5491397203.jpg#2r1n,neutral,"A man in a backwards baseball cap, black shirt and blue shorts behind the steering wheel of a boat with a flag behind him.",The boat is fast.,just because he is on a boat doesn't mean that the boat is fast,"A man in a backwards baseball cap, black shirt and blue shorts behind the steering wheel of a boat with a flag behind him.", The boat is *fast.*,{},3,Not all boat runs fast.,"A man in a backwards baseball cap, black shirt and blue shorts behind the steering wheel of a boat with a flag behind him.", The boat is *fast.*,{},3,Not all boats are moving fast.,"A man in a backwards baseball cap, black shirt and blue shorts behind the steering wheel of a boat with a flag behind him.", The boat is *fast.*,{},3
5491397203.jpg#2r1e,entailment,"A man in a backwards baseball cap, black shirt and blue shorts behind the steering wheel of a boat with a flag behind him.",The shirt is black.,A shirt is black must be a black shirt.," A man in a backwards baseball cap, *black* *shirt* and blue shorts behind the steering wheel of a boat with a flag behind him.", The *shirt* *is* *black.*,"7,8","1,3,2","A man in a backwards baseball cap, black shirt means the shirt is black."," A man in a backwards baseball cap, *black* *shirt* and blue shorts behind the steering wheel of a boat with a flag behind him.", The *shirt* is *black.*,"7,8","3,1",The shirt is black is a rephrasing of a black shirt.," A man in a backwards baseball cap, *black* *shirt* and blue shorts behind the steering wheel of a boat with a flag behind him.", The *shirt* *is* *black.*,"8,7","1,2,3"
2817132182.jpg#2r1c,contradiction,A woman is sitting outside while holding two cats.,The women is holding a dog.,Cats and dogs are different types of animals.,A woman is sitting outside while holding two *cats.*,The women is holding a *dog.*,8,5,is the woman holding cats or a dog?,A woman is sitting outside while holding two *cats.*,The women is holding a *dog.*,8,5,"The woman is either holding two cats or she is holding a dog, but not both.",A woman is sitting outside while *holding* *two* *cats.*,The women is *holding* *a* *dog.*,"6,7,8","3,4,5"
2817132182.jpg#2r1e,entailment,A woman is sitting outside while holding two cats.,A person is sitting and holding cats.,A woman is the person sitting and holding the cats., A *woman* is *sitting* outside while *holding* *two* *cats.*, A *person* is *sitting* and *holding* *cats.*,"1,3,6,7,8","1,3,5,6","The woman is the person and cats is plural, more than one.", A *woman* is sitting outside while *holding* *two* *cats.*, A *person* is sitting and *holding* *cats.*,"1,6,7,8","1,5,6",A woman is inferred as A person .and holding two cats is inferred as holding cats., *A* *woman* is sitting outside while *holding* *two* *cats.*, *A* *person* is sitting and *holding* *cats.*,"0,1,6,7,8","1,0,5,6"
2817132182.jpg#2r1n,neutral,A woman is sitting outside while holding two cats.,This person likes cats.,Just because she is holding two cats doesn't mean she likes cats.,A woman is sitting outside while holding two cats., This person *likes* cats.,{},2,Just because the woman holding cats does not mean she likes cats.,A woman is sitting outside while holding two cats., This person *likes* cats.,{},2,A person holding cats does not necessarily like them.,A woman is sitting outside while holding two cats., This person likes *cats.*,{},3
4935241932.jpg#3r1n,neutral,A green bike is parked next to a door.,The bike is chained to the door.,You can park a bike and not have it chained.,A green bike is parked next to a door., The bike is *chained* to the door.,{},3,Just because bike is parked next to a door does not mean it is chained to the door.,A green bike is parked next to a door., The bike is *chained* to the door.,{},3,A bike that is parked is not necessarily chained.,A green bike is parked next to a door., The bike is *chained* to the door.,{},3
4935241932.jpg#3r1e,entailment,A green bike is parked next to a door.,The bike is outside.,Generally a door leads outside., A green bike is parked next to a *door.*, The bike is *outside.*,8,3,"Green bike is a type of bike, and parked implies outside.", A *green* *bike* is *parked* next to a door., The *bike* is *outside.*,"1,2,4","1,3",A green bike is a bike and parked next to a door means the bike should be outside., A *green* *bike* is *parked* *next* *to* a *door.*, The *bike* is *outside.*,"2,1,4,5,6,8","1,3"
4935241932.jpg#3r1c,contradiction,A green bike is parked next to a door.,The bike has a jet pack.,"The bike cannot both be parked and have a jet pack, and bikes don't have jet packs",A green bike is *parked* next to a door.,The bike has a *jet* *pack.*,4,"4,5",A bike does not have a jet pack.,A green *bike* is parked next to a door.,The *bike* *has* a *jet* *pack.*,2,"1,2,4,5",bike is parked is not same as bike has a jet pack,A green *bike* *is* *parked* next to a door.,The *bike* *has* *a* *jet* *pack.*,"2,3,4","2,1,3,4,5"
3536860526.jpg#1r1c,contradiction,Two men exchange conversation in a crowded place.,Two women exchange conversation in a crowded place.,Men and women are different.,Two *men* exchange conversation in a crowded place.,Two *women* exchange conversation in a crowded place.,1,1,Women are not men.,Two *men* exchange conversation in a crowded place.,Two *women* exchange conversation in a crowded place.,1,1,The men can't be women.,Two *men* exchange conversation in a crowded place.,Two *women* exchange conversation in a crowded place.,1,1
3536860526.jpg#1r1n,entailment,Two men exchange conversation in a crowded place.,Two men exchange conversation in a crowded arena.,Conversation is a form of talking and an arena is a place., Two men exchange *conversation* in a *crowded* *place.*, Two men exchange *conversation* in a *crowded* *arena.*,"3,6,7","3,6,7","Two men exchanging conversation in an arena is the same as them exchanging conversation in a crowded place, as an arena is a specific place.", *Two* *men* *exchange* *conversation* in a *crowded* *place.*, *Two* *men* *exchange* *conversation* in a *crowded* *arena.*,"0,1,2,3,6,7","0,1,2,3,6,7",ARENA IS ALSO A PLACE, Two men exchange conversation in a crowded *place.*, Two men exchange conversation in a crowded *arena.*,7,7
3536860526.jpg#1r1e,entailment,Two men exchange conversation in a crowded place.,Two men have a conversation in a crowded place.,To exchange conversation is the same as to have a conversation., Two men *exchange* *conversation* in a crowded place., Two men *have* a *conversation* in a crowded place.,"2,3","2,4",Two men exchange  conversation in a place that is crowded., Two men *exchange* *conversation* in a crowded place., *Two* *men* have a conversation in a *crowded* *place.*,"2,3","0,1,7,8",Have a conversation is another way of saying exchange conversation., Two men *exchange* *conversation* in a crowded place., Two men *have* *a* *conversation* in a crowded place.,"2,3","2,3,4"
3440104178.jpg#0r1c,contradiction,A white dog with brown ears runs down a gravel path with a ball in its mouth.,A dog runs down a dirt path with a bone in its mouth.,"The dog acn not carry both a ball and bone, nor can he be on a dirt path and gravel path at the same time.",A white dog with brown ears runs down a *gravel* path with a *ball* in its mouth.,A dog runs down a *dirt* path with a *bone* in its mouth.,"13,9","9,5",The dog cant hold both a bone and a ball in his mouth,A white dog with brown ears runs down a gravel path with a *ball* in its mouth.,A dog runs down a dirt path with a *bone* in its mouth.,13,9,A dog cannot have a ball and a bone in its mouth at the same time.,A white dog with brown ears runs down a gravel path with a *ball* *in* its *mouth.*,A dog runs down a dirt path with a *bone* *in* its *mouth.*,"13,14,16","9,10,12"
3440104178.jpg#0r1e,entailment,A white dog with brown ears runs down a gravel path with a ball in its mouth.,A dog runs down a path.,White dog with brown ears is a type of dog., A *white* *dog* *with* *brown* *ears* runs down a gravel path with a ball in its mouth., A *dog* runs down a path.,"1,2,3,4,5",1,"A white dog with brown ears is a type of dog, and a gravel path is a type of path.", A *white* *dog* *with* *brown* *ears* runs down a *gravel* *path* with a ball in its mouth., A *dog* runs down a *path.*,"9,10,1,2,3,5,4","5,1",A white dog is a god as part of its description running down a (gravel) path., A *white* *dog* with brown ears *runs* down a *gravel* *path* with a ball in its mouth., A *dog* runs down a *path.*,"1,2,6,9,10","1,5"
3440104178.jpg#0r1n,neutral,A white dog with brown ears runs down a gravel path with a ball in its mouth.,A dog runs down a path with a green ball.,"Not all balls are green, the dog has a ball, but it may be a different color than green.",A white dog with brown ears runs down a gravel path with a ball in its mouth., A dog runs down a path with a *green* ball.,{},8,The ball is not necessarily green.,A white dog with brown ears runs down a gravel path with a ball in its mouth., A dog runs down a path with a *green* ball.,{},8,Not all balls are green.,A white dog with brown ears runs down a gravel path with a ball in its mouth., A dog runs down a path with a *green* ball.,{},8
2369840118.jpg#0r1c,contradiction,The boy wearing the blue hooded top is holding a baby goat in his arms.,A boy ran from a goat.,"If the boy is holding a baby goat in his arms, he cannot be running from it.",The boy wearing the blue hooded top is *holding* *a* *baby* *goat* *in* *his* *arms.*,A boy *ran* *from* *a* *goat.*,"8,11,9,10,12,13,14","2,3,4,5",Holding and ran are two separate actions.,The boy wearing the blue hooded top is *holding* a baby goat in his arms.,A boy *ran* from a goat.,8,2,The boy cannot be holding a baby goat at the same time he ran from a goat.,The boy wearing the blue hooded top is *holding* a baby goat in his arms.,A boy *ran* from a goat.,8,2
